term,coefficient
intercept,0.0230534679
realised_volatility_30d,0.0030155696
log_return,0.0000228090
abs_return,-0.0000315525
log_volume,0.0001703331
log_trade_count,-0.0001826174
return_lag_1,0.0000047824
return_lag_2,-0.0000468570
return_lag_3,-0.0000130638
return_lag_7,0.0000615203
return_lag_14,-0.0000420193
abs_return_lag_1,-0.0000869274
abs_return_lag_2,-0.0000204434
abs_return_lag_3,0.0000112839
abs_return_lag_7,-0.0000034224
abs_return_lag_14,0.0000664751
rv_lag_1,-0.0003255966
rv_lag_2,0.0000953512
rv_lag_3,-0.0000210994
rv_lag_7,-0.0000712914
rv_lag_14,-0.0000382415
rolling_abs_return_7d,0.0003752475
rolling_abs_return_14d,-0.0002523322
rolling_abs_return_30d,0.0003944670
rolling_return_std_7d,-0.0003067541
rolling_return_std_14d,0.0005809226
rolling_return_std_30d,0.0030155023
