epoch,train_mse_on_scaled_target,validation_mse_on_scaled_target
1,0.5882105392217636,0.16742900013923645
2,0.1629491600394249,0.11025320738554001
3,0.0803816556930542,0.03885556757450104
4,0.061975859701633454,0.03975062444806099
5,0.05444748893380165,0.040154311805963516
6,0.04881976030766964,0.03888235241174698
7,0.04610904708504677,0.02305806614458561
8,0.04148453146219253,0.022431369870901108
9,0.040105010122060775,0.02784290350973606
10,0.0374558462202549,0.028100736439228058
11,0.04010264910757542,0.020083747804164886
12,0.04330530248582363,0.03913969174027443
13,0.035483201444149015,0.023797089233994484
14,0.03592398665845394,0.02725115604698658
15,0.038040123879909515,0.02172880992293358
16,0.03632475785911083,0.049430157989263535
17,0.034206535667181015,0.01966838911175728
18,0.035569539964199065,0.01814023219048977
19,0.036219060719013214,0.027813280001282692
20,0.03405691962689161,0.017736786976456642
21,0.03296565305441618,0.01987580582499504
22,0.031876469887793066,0.02284735068678856
23,0.03259800586849451,0.01921400986611843
24,0.03216213587671518,0.04012017324566841
25,0.03057881608605385,0.018316717818379402
26,0.029606767743825913,0.019737733528017998
27,0.030261008590459822,0.022569766268134117
28,0.03184163682162762,0.026937570422887802
29,0.029019808508455754,0.02637506276369095
30,0.02812994908541441,0.019720906391739845
31,0.027763448022305966,0.01976930908858776
32,0.027861911691725253,0.029033632948994637
33,0.026747393347322942,0.025723641738295555
34,0.02628665469586849,0.032688356935977936
35,0.02658065963536501,0.022542670369148254
36,0.027695327699184417,0.030863620340824127
37,0.027065482195466756,0.020760193467140198
38,0.02771327145397663,0.0284601878374815
39,0.025877604000270366,0.025912318378686905
40,0.02630477525293827,0.030519569292664528
41,0.02450998455286026,0.02652699686586857
42,0.024893175438046457,0.03080962970852852
43,0.02375675518065691,0.04972483590245247
44,0.02402944762259722,0.035466503351926804
45,0.024174639396369456,0.04553258419036865
46,0.02320512432605028,0.032922741025686264
47,0.023138558082282542,0.031083811074495316
48,0.021696208864450454,0.031455185264348984
49,0.02175710555166006,0.039848849177360535
50,0.02203372832387686,0.032061632722616196
