walk_forward_fold,train_rows,train_start,train_end,test_start,test_end,target_start,target_end,test_rows,rank_by_RMSE,model,MAE,MSE,RMSE
1,950,2023-04-11,2025-11-15,2025-11-16,2026-01-16,2025-11-17,2026-01-17,62,1,"GARCH(1,1)",0.00040096,0.00000030,0.00054874
1,950,2023-04-11,2025-11-15,2025-11-16,2026-01-16,2025-11-17,2026-01-17,62,2,Lagged linear regression,0.00055969,0.00000065,0.00080917
1,950,2023-04-11,2025-11-15,2025-11-16,2026-01-16,2025-11-17,2026-01-17,62,3,LSTM,0.00066210,0.00000068,0.00082578
1,950,2023-04-11,2025-11-15,2025-11-16,2026-01-16,2025-11-17,2026-01-17,62,4,Rolling historical volatility,0.00053630,0.00000074,0.00086246
1,950,2023-04-11,2025-11-15,2025-11-16,2026-01-16,2025-11-17,2026-01-17,62,5,Random Forest,0.00066087,0.00000076,0.00087126
2,1012,2023-04-11,2026-01-16,2026-01-17,2026-03-19,2026-01-18,2026-03-20,62,1,"GARCH(1,1)",0.00075893,0.00000296,0.00172036
2,1012,2023-04-11,2026-01-16,2026-01-17,2026-03-19,2026-01-18,2026-03-20,62,2,Lagged linear regression,0.00130538,0.00000583,0.00241443
2,1012,2023-04-11,2026-01-16,2026-01-17,2026-03-19,2026-01-18,2026-03-20,62,3,Rolling historical volatility,0.00097330,0.00000597,0.00244385
2,1012,2023-04-11,2026-01-16,2026-01-17,2026-03-19,2026-01-18,2026-03-20,62,4,LSTM,0.00280543,0.00001410,0.00375505
2,1012,2023-04-11,2026-01-16,2026-01-17,2026-03-19,2026-01-18,2026-03-20,62,5,Random Forest,0.00314601,0.00001783,0.00422273
3,1074,2023-04-11,2026-03-19,2026-03-20,2026-05-20,2026-03-21,2026-05-21,62,1,"GARCH(1,1)",0.00032368,0.00000016,0.00040604
3,1074,2023-04-11,2026-03-19,2026-03-20,2026-05-20,2026-03-21,2026-05-21,62,2,Lagged linear regression,0.00055642,0.00000063,0.00079127
3,1074,2023-04-11,2026-03-19,2026-03-20,2026-05-20,2026-03-21,2026-05-21,62,3,Rolling historical volatility,0.00053779,0.00000063,0.00079155
3,1074,2023-04-11,2026-03-19,2026-03-20,2026-05-20,2026-03-21,2026-05-21,62,4,LSTM,0.00074287,0.00000089,0.00094376
3,1074,2023-04-11,2026-03-19,2026-03-20,2026-05-20,2026-03-21,2026-05-21,62,5,Random Forest,0.00077259,0.00000106,0.00102870
4,1136,2023-04-11,2026-05-20,2026-05-21,2026-07-18,2026-05-22,2026-07-19,59,1,"GARCH(1,1)",0.00042032,0.00000044,0.00066627
4,1136,2023-04-11,2026-05-20,2026-05-21,2026-07-18,2026-05-22,2026-07-19,59,2,Lagged linear regression,0.00049981,0.00000066,0.00081207
4,1136,2023-04-11,2026-05-20,2026-05-21,2026-07-18,2026-05-22,2026-07-19,59,3,LSTM,0.00056763,0.00000068,0.00082578
4,1136,2023-04-11,2026-05-20,2026-05-21,2026-07-18,2026-05-22,2026-07-19,59,4,Rolling historical volatility,0.00045812,0.00000075,0.00086317
4,1136,2023-04-11,2026-05-20,2026-05-21,2026-07-18,2026-05-22,2026-07-19,59,5,Random Forest,0.00066791,0.00000097,0.00098429
